experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
1,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,63,2_right,0,0.05,0.73,0.11,0.1,0.01,0,0.33,0,1
1,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,63,3_none,0,0,0,0,0,0,0,0,1,78
1,F0T28T13T10F0T19T12F0T6T17T22T2T14T20F0F0,91,1_left,0,0.29,0.13,0.15,0,0.27,0.16,1,0,4
1,F0T28T13T10F0T19T12F0T6T17T22T2T14T20F0F0,91,2_right,0.1,0.17,0.22,0.03,0.2,0.28,0,1,0,2
1,F0T28T13T10F0T19T12F0T6T17T22T2T14T20F0F0,91,3_none,0,0,0,0,0,0,0,0,1,74
1,F0T31T11F0F0F0T38F0T1T28T5T2T2T8T21F0,101,1_left,0,0.33,0.12,0,0,0,0.54,0.85,0,10
1,F0T31T11F0F0F0T38F0T1T28T5T2T2T8T21F0,101,2_right,0.02,0.36,0.06,0.04,0.03,0.14,0.35,0.37,0,9
1,F0T31T11F0F0F0T38F0T1T28T5T2T2T8T21F0,101,3_none,0,0,0,0,0,0,0,0,1,61
1,F0T35F0F0F0T31F0F0T1T27F0T7T4T27T3F0,75,1_left,0,0.45,0,0,0,0.55,0,0.42,0,4
1,F0T35F0F0F0T31F0F0T1T27F0T7T4T27T3F0,75,2_right,0.01,0.32,0,0.12,0.07,0.44,0.04,0.51,0,4
1,F0T35F0F0F0T31F0F0T1T27F0T7T4T27T3F0,75,3_none,0,0,0,0,0,0,0,0,1,72
1,F0T38T24T2F0T1F0F0F0T30T16F0F0F0T17F0,114,1_left,0,0.58,0.36,0.04,0,0.02,0,-0.01,0,4
1,F0T38T24T2F0T1F0F0F0T30T16F0F0F0T17F0,114,2_right,0,0.44,0.23,0,0,0,0.33,0.04,0,13
1,F0T38T24T2F0T1F0F0F0T30T16F0F0F0T17F0,114,3_none,0,0,0,0,0,0,0,0,1,63
1,F0T43T3T4T2T6T0F0F0T52T1F0T1F0T8F0,62,1_left,0,0.66,0.05,0.09,0.05,0.13,0.01,-0.02,0,1
1,F0T43T3T4T2T6T0F0F0T52T1F0T1F0T8F0,62,2_right,0,0.8,0.02,0,0.03,0,0.15,-0.02,0,2
1,F0T43T3T4T2T6T0F0F0T52T1F0T1F0T8F0,62,3_none,0,0,0,0,0,0,0,0,1,77
1,F0T4F0T1T12T5T3F0T1F0T1T5T11T1T3F0,88,1_left,0,0.11,0,0.06,0.5,0.22,0.11,-1,0,4
1,F0T4F0T1T12T5T3F0T1F0T1T5T11T1T3F0,88,2_right,0.07,0,0.03,0.24,0.48,0.06,0.11,-1,0,3
1,F0T4F0T1T12T5T3F0T1F0T1T5T11T1T3F0,88,3_none,0,0,0,0,0,0,0,0,1,73
1,F0T4F0T7T0T16T1F0T1T4T4T10F0T17T1F0,68,1_left,0,0.12,0,0.28,0.01,0.59,0.02,-0.87,0,2
1,F0T4F0T7T0T16T1F0T1T4T4T10F0T17T1F0,68,2_right,0.05,0.08,0.09,0.29,0,0.47,0.02,-0.53,0,2
1,F0T4F0T7T0T16T1F0T1T4T4T10F0T17T1F0,68,3_none,0,0,0,0,0,0,0,0,1,76
1,F0T4T79T7F0T4F0F0F0F0T69F0T4T9T4F0,109,1_left,0,0.04,0.8,0.1,0,0.06,0,1,0,2
1,F0T4T79T7F0T4F0F0F0F0T69F0T4T9T4F0,109,2_right,0,0,0.74,0,0.06,0.13,0.06,0.84,0,7
