experiment,folder,choice_set,alternative,R,O,Y,G,B,P,UV,intensity,no_choice,max_count
2,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,177,2_right,0.16,0.09,0,0.13,0.19,0,0.44,0.53,0,5
2,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,177,3_none,0,0,0,0,0,0,0,0,1,64
2,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,155,1_left,0,0,0,0,0,0.85,0.15,-0.04,0,2
2,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,155,2_right,0.02,0.13,0.05,0,0,0.7,0.1,-0.04,0,3
2,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,155,3_none,0,0,0,0,0,0,0,0,1,75
2,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,143,1_left,0,0,0,0,0.94,0,0.06,0.03,0,0
2,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,143,2_right,0,0.03,0,0.06,0.76,0,0.14,-0.04,0,1
2,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,143,3_none,0,0,0,0,0,0,0,0,1,79
2,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,125,1_left,0,0,0,0.46,0,0,0.54,-0.01,0,2
2,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,125,2_right,0.07,0.07,0.08,0.59,0.1,0.08,0.02,0.06,0,1
2,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,125,3_none,0,0,0,0,0,0,0,0,1,77
2,F0F0F0T35F0T2F0F0T4T1T1T30T2F0F0F0,127,1_left,0,0,0,0.96,0,0.04,0,-0.4,0,1
2,F0F0F0T35F0T2F0F0T4T1T1T30T2F0F0F0,127,2_right,0.12,0.01,0.01,0.82,0.04,0,0,-0.37,0,1
2,F0F0F0T35F0T2F0F0T4T1T1T30T2F0F0F0,127,3_none,0,0,0,0,0,0,0,0,1,78
2,F0F0T4T6T33T9T2F0F0T2F0F0T34F0T23F0,167,1_left,0,0,0.05,0.11,0.64,0.17,0.04,0.21,0,1
2,F0F0T4T6T33T9T2F0F0T2F0F0T34F0T23F0,167,2_right,0,0.02,0,0,0.6,0,0.38,0.34,0,2
2,F0F0T4T6T33T9T2F0F0T2F0F0T34F0T23F0,167,3_none,0,0,0,0,0,0,0,0,1,77
2,F0F0T56T9T1F0T6F0T1T5T62T2F0T7T1F0,153,1_left,0,0,0.72,0.16,0.01,0,0.11,0.36,0,2
2,F0F0T56T9T1F0T6F0T1T5T62T2F0T7T1F0,153,2_right,0.02,0.06,0.76,0.03,0,0.12,0.02,0.47,0,1
2,F0F0T56T9T1F0T6F0T1T5T62T2F0T7T1F0,153,3_none,0,0,0,0,0,0,0,0,1,77
2,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,123,1_left,0,0,0.87,0.07,0,0,0.07,0.27,0,3
2,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,123,2_right,0,0.05,0.73,0.11,0.1,0.01,0,0.33,0,1
2,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,123,3_none,0,0,0,0,0,0,0,0,1,76
2,F0T28T13T10F0T19T12F0T6T17T22T2T14T20F0F0,151,1_left,0,0.29,0.13,0.15,0,0.27,0.16,1,0,2
2,F0T28T13T10F0T19T12F0T6T17T22T2T14T20F0F0,151,2_right,0.1,0.17,0.22,0.03,0.2,0.28,0,1,0,2
2,F0T28T13T10F0T19T12F0T6T17T22T2T14T20F0F0,151,3_none,0,0,0,0,0,0,0,0,1,76
2,F0T31T11F0F0F0T38F0T1T28T5T2T2T8T21F0,161,1_left,0,0.33,0.12,0,0,0,0.54,0.85,0,6
2,F0T31T11F0F0F0T38F0T1T28T5T2T2T8T21F0,161,2_right,0.02,0.36,0.06,0.04,0.03,0.14,0.35,0.37,0,3
2,F0T31T11F0F0F0T38F0T1T28T5T2T2T8T21F0,161,3_none,0,0,0,0,0,0,0,0,1,71
2,F0T35F0F0F0T31F0F0T1T27F0T7T4T27T3F0,135,1_left,0,0.45,0,0,0,0.55,0,0.42,0,0
2,F0T35F0F0F0T31F0F0T1T27F0T7T4T27T3F0,135,2_right,0.01,0.32,0,0.12,0.07,0.44,0.04,0.51,0,0
2,F0T35F0F0F0T31F0F0T1T27F0T7T4T27T3F0,135,3_none,0,0,0,0,0,0,0,0,1,80
2,F0T38T24T2F0T1F0F0F0T30T16F0F0F0T17F0,174,1_left,0,0.58,0.36,0.04,0,0.02,0,-0.01,0,1
2,F0T38T24T2F0T1F0F0F0T30T16F0F0F0T17F0,174,2_right,0,0.44,0.23,0,0,0,0.33,0.04,0,7
2,F0T38T24T2F0T1F0F0F0T30T16F0F0F0T17F0,174,3_none,0,0,0,0,0,0,0,0,1,72
2,F0T43T3T4T2T6T0F0F0T52T1F0T1F0T8F0,122,1_left,0,0.66,0.05,0.09,0.05,0.13,0.01,-0.02,0,1
2,F0T43T3T4T2T6T0F0F0T52T1F0T1F0T8F0,122,2_right,0,0.8,0.02,0,0.03,0,0.15,-0.02,0,6
2,F0T43T3T4T2T6T0F0F0T52T1F0T1F0T8F0,122,3_none,0,0,0,0,0,0,0,0,1,73
2,F0T4F0T1T12T5T3F0T1F0T1T5T11T1T3F0,148,1_left,0,0.11,0,0.06,0.5,0.22,0.11,-1,0,1
2,F0T4F0T1T12T5T3F0T1F0T1T5T11T1T3F0,148,2_right,0.07,0,0.03,0.24,0.48,0.06,0.11,-1,0,1
2,F0T4F0T1T12T5T3F0T1F0T1T5T11T1T3F0,148,3_none,0,0,0,0,0,0,0,0,1,78
2,F0T4F0T7T0T16T1F0T1T4T4T10F0T17T1F0,128,1_left,0,0.12,0,0.28,0.01,0.59,0.02,-0.87,0,1
2,F0T4F0T7T0T16T1F0T1T4T4T10F0T17T1F0,128,2_right,0.05,0.08,0.09,0.29,0,0.47,0.02,-0.53,0,1
2,F0T4F0T7T0T16T1F0T1T4T4T10F0T17T1F0,128,3_none,0,0,0,0,0,0,0,0,1,78
2,F0T4T79T7F0T4F0F0F0F0T69F0T4T9T4F0,169,1_left,0,0.04,0.8,0.1,0,0.06,0,1,0,1
2,F0T4T79T7F0T4F0F0F0F0T69F0T4T9T4F0,169,2_right,0,0,0.74,0,0.06,0.13,0.06,0.84,0,3
2,F0T4T79T7F0T4F0F0F0F0T69F0T4T9T4F0,169,3_none,0,0,0,0,0,0,0,0,1,76
2,F0T54F0T3T22T2F0F0T5T44T6T5T15T1T1F0,140,1_left,0,0.6,0,0.04,0.33,0.03,0,0.8,0,0
2,F0T54F0T3T22T2F0F0T5T44T6T5T15T1T1F0,140,2_right,0.09,0.49,0.07,0.08,0.24,0.01,0.01,0.69,0,0
2,F0T54F0T3T22T2F0F0T5T44T6T5T15T1T1F0,140,3_none,0,0,0,0,0,0,0,0,1,80
2,F0T63F0T11F0F0T3F0T2T54T2T4T2T1T5F0,134,1_left,0,0.77,0,0.18,0,0,0.05,0.54,0,0
2,F0T63F0T11F0F0T3F0T2T54T2T4T2T1T5F0,134,2_right,0.05,0.72,0.02,0.07,0.04,0.02,0.09,0.31,0,0
2,F0T63F0T11F0F0T3F0T2T54T2T4T2T1T5F0,134,3_none,0,0,0,0,0,0,0,0,1,80
2,F0T7T45F0T7F0T5F0T3T1T42T5T3T5F0F0,149,1_left,0,0.1,0.66,0,0.14,0,0.1,0.04,0,3
2,F0T7T45F0T7F0T5F0T3T1T42T5T3T5F0F0,149,2_right,0.08,0.02,0.61,0.11,0.06,0.11,0,0.06,0,1
2,F0T7T45F0T7F0T5F0T3T1T42T5T3T5F0F0,149,3_none,0,0,0,0,0,0,0,0,1,76
2,F0T9T8T8T5T2T4F0T2F0T5T5T8T3T3F0,179,1_left,0,0.21,0.19,0.25,0.15,0.06,0.13,-0.7,0,4
2,F0T9T8T8T5T2T4F0T2F0T5T5T8T3T3F0,179,2_right,0.11,0,0.14,0.2,0.33,0.11,0.1,-1,0,3
2,F0T9T8T8T5T2T4F0T2F0T5T5T8T3T3F0,179,3_none,0,0,0,0,0,0,0,0,1,73
2,T0T2T29F0T2F0T8F0F0F0T36T1T7F0F0F0,150,1_left,0.01,0.05,0.64,0,0.07,0,0.23,-0.66,0,2
2,T0T2T29F0T2F0T8F0F0F0T36T1T7F0F0F0,150,2_right,0,0,0.77,0.04,0.2,0,0,-0.59,0,1
2,T0T2T29F0T2F0T8F0F0F0T36T1T7F0F0F0,150,3_none,0,0,0,0,0,0,0,0,1,77
2,T10T6F0F0T1T50T6F0T13F0F0T2F0T41T11F0,158,1_left,0.12,0.06,0,0,0.01,0.72,0.08,1,0,3
2,T10T6F0F0T1T50T6F0T13F0F0T2F0T41T11F0,158,2_right,0.23,0,0,0.03,0,0.6,0.15,0.84,0,2
2,T10T6F0F0T1T50T6F0T13F0F0T2F0T41T11F0,158,3_none,0,0,0,0,0,0,0,0,1,75
2,T12T5T7T7T1T11F0F0T7T4T5T2F0T4T3F0,144,1_left,0.27,0.09,0.13,0.18,0.03,0.29,0,-0.41,0,1
2,T12T5T7T7T1T11F0F0T7T4T5T2F0T4T3F0,144,2_right,0.34,0.13,0.14,0.11,0,0.15,0.13,-1,0,1
2,T12T5T7T7T1T11F0F0T7T4T5T2F0T4T3F0,144,3_none,0,0,0,0,0,0,0,0,1,78
2,T13T3F0T10T26T9T2F0T13F0T22T6T21T1T6F0,130,1_left,0.19,0.03,0,0.17,0.43,0.15,0.03,0.56,0,1
2,T13T3F0T10T26T9T2F0T13F0T22T6T21T1T6F0,130,2_right,0.24,0,0.24,0.1,0.31,0.01,0.09,0.77,0,1
2,T13T3F0T10T26T9T2F0T13F0T22T6T21T1T6F0,130,3_none,0,0,0,0,0,0,0,0,1,78
2,T14T2F0F0T1T11T1F0T9T4T3T1T3T9T4F0,178,1_left,0.46,0.06,0,0,0.04,0.4,0.04,-0.85,0,5
2,T14T2F0F0T1T11T1F0T9T4T3T1T3T9T4F0,178,2_right,0.34,0.1,0.06,0.03,0.08,0.27,0.13,-0.67,0,4
2,T14T2F0F0T1T11T1F0T9T4T3T1T3T9T4F0,178,3_none,0,0,0,0,0,0,0,0,1,71
2,T15T12F0T42F0T6F0F0T4T12T14T33T3T1T9F0,137,1_left,0.18,0.12,0,0.61,0,0.09,0,1,0,0
2,T15T12F0T42F0T6F0F0T4T12T14T33T3T1T9F0,137,2_right,0.07,0.12,0.14,0.49,0.04,0.02,0.12,0.94,0,1
2,T15T12F0T42F0T6F0F0T4T12T14T33T3T1T9F0,137,3_none,0,0,0,0,0,0,0,0,1,79
2,T15T1T23T10F0T22F0F0T17T12T14T2T4T21T7F0,168,1_left,0.21,0.01,0.26,0.16,0,0.36,0,0.64,0,2
2,T15T1T23T10F0T22F0F0T17T12T14T2T4T21T7F0,168,2_right,0.28,0.12,0.14,0.03,0.05,0.29,0.09,1,0,3
2,T15T1T23T10F0T22F0F0T17T12T14T2T4T21T7F0,168,3_none,0,0,0,0,0,0,0,0,1,75
2,T1T7T0F0F0T9T9F0F0T8F0T1T6T9T2F0,124,1_left,0.03,0.22,0.01,0,0,0.4,0.35,-1,0,4
2,T1T7T0F0F0T9T9F0F0T8F0T1T6T9T2F0,124,2_right,0,0.25,0,0.05,0.25,0.36,0.09,-0.99,0,2
2,T1T7T0F0F0T9T9F0F0T8F0T1T6T9T2F0,124,3_none,0,0,0,0,0,0,0,0,1,74
2,T20F0T13F0F0F0T27F0T17T5T20T2T3T4F0F0,160,1_left,0.33,0,0.18,0,0,0,0.49,0.23,0,6
2,T20F0T13F0F0F0T27F0T17T5T20T2T3T4F0F0,160,2_right,0.43,0.08,0.3,0.05,0.06,0.08,0,0.03,0,1
2,T20F0T13F0F0F0T27F0T17T5T20T2T3T4F0F0,160,3_none,0,0,0,0,0,0,0,0,1,73
2,T20F0T2T3T29F0T19F0T11T4T9F0T18T5T21F0,159,1_left,0.25,0,0.02,0.05,0.41,0,0.26,1,0,3
2,T20F0T2T3T29F0T19F0T11T4T9F0T18T5T21F0,159,2_right,0.2,0.04,0.1,0,0.28,0.08,0.3,0.72,0,4
2,T20F0T2T3T29F0T19F0T11T4T9F0T18T5T21F0,159,3_none,0,0,0,0,0,0,0,0,1,73
2,T21T2F0T4T2T2T4F0T9T1T1F0T2T2T8F0,176,1_left,0.58,0.05,0,0.13,0.07,0.05,0.13,-0.67,0,4
2,T21T2F0T4T2T2T4F0T9T1T1F0T2T2T8F0,176,2_right,0.44,0.03,0.04,0,0.08,0.07,0.33,-1,0,4
2,T21T2F0T4T2T2T4F0T9T1T1F0T2T2T8F0,176,3_none,0,0,0,0,0,0,0,0,1,72
2,T25T2T4T4T3T4F0F0T21T1F0T1T6T1T1F0,163,1_left,0.6,0.05,0.08,0.1,0.07,0.1,0,-0.48,0,1
2,T25T2T4T4T3T4F0F0T21T1F0T1T6T1T1F0,163,2_right,0.72,0.03,0,0.03,0.17,0.03,0.02,-0.53,0,1
2,T25T2T4T4T3T4F0F0T21T1F0T1T6T1T1F0,163,3_none,0,0,0,0,0,0,0,0,1,78
2,T2T10T1F0T17F0F0F0T1T11T0T0T17T4T1F0,152,1_left,0.05,0.28,0.02,0,0.64,0,0,-0.88,0,1
2,T2T10T1F0T17F0F0F0T1T11T0T0T17T4T1F0,152,2_right,0.03,0.26,0.01,0.01,0.53,0.14,0.03,-0.69,0,2
2,T2T10T1F0T17F0F0F0T1T11T0T0T17T4T1F0,152,3_none,0,0,0,0,0,0,0,0,1,77
2,T2T19F0T5T0T5F0F0T2T16T4T4F0T6T5F0,132,1_left,0.07,0.53,0,0.2,0.01,0.19,0,-0.91,0,1
2,T2T19F0T5T0T5F0F0T2T16T4T4F0T6T5F0,132,2_right,0.06,0.37,0.1,0.15,0,0.18,0.15,-0.73,0,1
2,T2T19F0T5T0T5F0F0T2T16T4T4F0T6T5F0,132,3_none,0,0,0,0,0,0,0,0,1,78
2,T30T30F0F0T4F0F0F0T15T20F0F0T3F0T15F0,142,1_left,0.51,0.42,0,0,0.07,0,0,0.17,0,0
2,T30T30F0F0T4F0F0F0T15T20F0F0T3F0T15F0,142,2_right,0.35,0.29,0,0,0.06,0,0.29,0.09,0,3
2,T30T30F0F0T4F0F0F0T15T20F0F0T3F0T15F0,142,3_none,0,0,0,0,0,0,0,0,1,77
2,T33F0T1T3T7T6T0F0T28T2F0F0F0T2T9F0,147,1_left,0.63,0,0.01,0.07,0.16,0.12,0.01,-0.05,0,0
2,T33F0T1T3T7T6T0F0T28T2F0F0F0T2T9F0,147,2_right,0.74,0.03,0,0,0,0.04,0.19,-0.09,0,2
2,T33F0T1T3T7T6T0F0T28T2F0F0F0T2T9F0,147,3_none,0,0,0,0,0,0,0,0,1,78
2,T3F0F0T49T1F0T4F0T2T3T2T40F0T7F0F0,129,1_left,0.04,0,0,0.87,0.02,0,0.07,0.43,0,1
2,T3F0F0T49T1F0T4F0T2T3T2T40F0T7F0F0,129,2_right,0.05,0.04,0.02,0.77,0,0.12,0,0.29,0,0
2,T3F0F0T49T1F0T4F0T2T3T2T40F0T7F0F0,129,3_none,0,0,0,0,0,0,0,0,1,79
2,T3T10T7T5F0T6T2F0F0T4T12T5T0T7F0F0,164,1_left,0.09,0.25,0.18,0.19,0,0.22,0.07,-0.76,0,2
2,T3T10T7T5F0T6T2F0F0T4T12T5T0T7F0F0,164,2_right,0,0.12,0.37,0.21,0.01,0.28,0,-1,0,1
2,T3T10T7T5F0T6T2F0F0T4T12T5T0T7F0F0,164,3_none,0,0,0,0,0,0,0,0,1,77
2,T40F0F0F0T9T24T1F0T24T6T5T8T8T16F0F0,162,1_left,0.5,0,0,0,0.13,0.35,0.01,0.92,0,3
2,T40F0F0F0T9T24T1F0T24T6T5T8T8T16F0F0,162,2_right,0.42,0.06,0.05,0.12,0.12,0.23,0,0.81,0,1
2,T40F0F0F0T9T24T1F0T24T6T5T8T8T16F0F0,162,3_none,0,0,0,0,0,0,0,0,1,76
2,T4T16T3T1T4T3T3F0F0T16T4T3F0F0T8F0,165,1_left,0.12,0.41,0.08,0.04,0.14,0.1,0.12,-0.81,0,4
2,T4T16T3T1T4T3T3F0F0T16T4T3F0F0T8F0,165,2_right,0,0.47,0.11,0.13,0,0,0.3,-1,0,6
2,T4T16T3T1T4T3T3F0F0T16T4T3F0F0T8F0,165,3_none,0,0,0,0,0,0,0,0,1,70
2,T52F0T6T14F0F0F0F0T32T16F0T10T1T3T3F0,133,1_left,0.71,0,0.07,0.22,0,0,0,0.76,0,0
2,T52F0T6T14F0F0F0F0T32T16F0T10T1T3T3F0,133,2_right,0.58,0.17,0,0.16,0.02,0.04,0.04,0.74,0,1
2,T52F0T6T14F0F0F0F0T32T16F0T10T1T3T3F0,133,3_none,0,0,0,0,0,0,0,0,1,79
2,T5T0T3T1T23T1T3F0F0F0F0T5T28F0T5F0,131,1_left,0.12,0.01,0.06,0.02,0.67,0.04,0.09,-0.58,0,1
2,T5T0T3T1T23T1T3F0F0F0F0T5T28F0T5F0,131,2_right,0,0,0,0.15,0.73,0,0.12,-0.4,0,1
2,T5T0T3T1T23T1T3F0F0F0F0T5T28F0T5F0,131,3_none,0,0,0,0,0,0,0,0,1,78
2,T5T3T13T4T6F0T13F0F0F0F0F0F0F0T47F0,172,1_left,0.11,0.05,0.24,0.1,0.17,0,0.33,-0.39,0,3
2,T5T3T13T4T6F0T13F0F0F0F0F0F0F0T47F0,172,2_right,0,0,0,0,0,0,1,-0.13,0,6
2,T5T3T13T4T6F0T13F0F0F0F0F0F0F0T47F0,172,3_none,0,0,0,0,0,0,0,0,1,71
2,T6F0T31T8T17T11T9F0T16T9T19T7T8T6T11F0,175,1_left,0.07,0,0.31,0.11,0.24,0.15,0.12,1,0,3
2,T6F0T31T8T17T11T9F0T16T9T19T7T8T6T11F0,175,2_right,0.27,0.09,0.19,0.1,0.11,0.09,0.15,0.95,0,4
2,T6F0T31T8T17T11T9F0T16T9T19T7T8T6T11F0,175,3_none,0,0,0,0,0,0,0,0,1,73
2,T6T11T3T3T27F0F0F0T2F0F0F0T26T0T18F0,136,1_left,0.12,0.17,0.05,0.06,0.6,0,0,-0.07,0,0
2,T6T11T3T3T27F0F0F0T2F0F0F0T26T0T18F0,136,2_right,0.04,0,0,0,0.57,0.01,0.38,-0.12,0,1
2,T6T11T3T3T27F0F0F0T2F0F0F0T26T0T18F0,136,3_none,0,0,0,0,0,0,0,0,1,79
2,T6T2T1T15F0F0T0F0T3T5T2T14T3T0F0F0,154,1_left,0.22,0.06,0.04,0.67,0,0,0.01,-1,0,1
2,T6T2T1T15F0F0T0F0T3T5T2T14T3T0F0F0,154,2_right,0.14,0.12,0.05,0.56,0.12,0.01,0,-0.87,0,1
2,T6T2T1T15F0F0T0F0T3T5T2T14T3T0F0F0,154,3_none,0,0,0,0,0,0,0,0,1,78
2,T7F0T41F0T0T0T1F0F0F0T42T1F0T5T2F0,145,1_left,0.16,0,0.8,0,0.01,0.01,0.02,-0.48,0,1
2,T7F0T41F0T0T0T1F0F0F0T42T1F0T5T2F0,145,2_right,0,0,0.81,0.03,0,0.12,0.04,-0.43,0,1
2,T7F0T41F0T0T0T1F0F0F0T42T1F0T5T2F0,145,3_none,0,0,0,0,0,0,0,0,1,78
2,T7T5T8T4T1T25T3F0F0F0F0F0F0T19T32F0,171,1_left,0.12,0.07,0.11,0.09,0.03,0.52,0.06,0.08,0,3
2,T7T5T8T4T1T25T3F0F0F0F0F0F0T19T32F0,171,2_right,0,0,0,0,0,0.39,0.61,0.06,0,4
2,T7T5T8T4T1T25T3F0F0F0F0F0F0T19T32F0,171,3_none,0,0,0,0,0,0,0,0,1,73
2,T7T8T2T34F0F0F0F0T3F0F0T34F0T8T4F0,141,1_left,0.12,0.12,0.03,0.73,0,0,0,0.04,0,0
2,T7T8T2T34F0F0F0F0T3F0F0T34F0T8T4F0,141,2_right,0.08,0,0,0.69,0,0.16,0.07,0.16,0,0
2,T7T8T2T34F0F0F0F0T3F0F0T34F0T8T4F0,141,3_none,0,0,0,0,0,0,0,0,1,80
2,T8F0T15T1T2T11T29F0F0F0F0F0F0F0T61F0,156,1_left,0.12,0,0.18,0.01,0.04,0.18,0.48,0.51,0,4
2,T8F0T15T1T2T11T29F0F0F0F0F0F0F0T61F0,156,2_right,0,0,0,0,0,0,1,0.44,0,3
2,T8F0T15T1T2T11T29F0F0F0F0F0F0F0T61F0,156,3_none,0,0,0,0,0,0,0,0,1,73
2,T8T3T11T15T3T24T11F0T4T5T7T9T18T1T9F0,173,1_left,0.1,0.03,0.11,0.22,0.04,0.34,0.15,1,0,2
2,T8T3T11T15T3T24T11F0T4T5T7T9T18T1T9F0,173,2_right,0.09,0.07,0.1,0.19,0.35,0.02,0.16,0.1,0,1
2,T8T3T11T15T3T24T11F0T4T5T7T9T18T1T9F0,173,3_none,0,0,0,0,0,0,0,0,1,77
2,T8T3T18F0T14F0T4F0F0T8T10T0T13F0T5F0,166,1_left,0.17,0.05,0.32,0,0.37,0,0.1,-0.35,0,4
2,T8T3T18F0T14F0T4F0F0T8T10T0T13F0T5F0,166,2_right,0,0.18,0.24,0.01,0.42,0,0.15,-0.71,0,2
2,T8T3T18F0T14F0T4F0F0T8T10T0T13F0T5F0,166,3_none,0,0,0,0,0,0,0,0,1,74
2,T8T4T11T2T0T3T3F0T4T5T1T6T2T2T5F0,157,1_left,0.26,0.11,0.28,0.09,0.01,0.13,0.11,-0.86,0,1
2,T8T4T11T2T0T3T3F0T4T5T1T6T2T2T5F0,157,2_right,0.2,0.14,0.03,0.26,0.1,0.08,0.19,-1,0,2
2,T8T4T11T2T0T3T3F0T4T5T1T6T2T2T5F0,157,3_none,0,0,0,0,0,0,0,0,1,77
2,T9T6F0T6T5T5T18F0F0F0T2F0F0F0T45F0,146,1_left,0.18,0.09,0,0.13,0.1,0.12,0.39,-0.07,0,2
2,T9T6F0T6T5T5T18F0F0F0T2F0F0F0T45F0,146,2_right,0,0,0.03,0,0,0,0.97,-0.16,0,3
2,T9T6F0T6T5T5T18F0F0F0T2F0F0F0T45F0,146,3_none,0,0,0,0,0,0,0,0,1,75
3,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,198,1_left,0,0,0,0,0,0,1,-0.66,0,4
3,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,198,2_right,0,0.11,0.08,0.06,0.14,0.21,0.4,-0.82,0,4
3,F0F0F0F0F0F0T33F0F0T4T3T2T4T6T12F0,198,3_none,0,0,0,0,0,0,0,0,1,72
3,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,180,1_left,0,0,0,0,0,0,1,-0.18,0,5
3,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,180,2_right,0.17,0.06,0.11,0.2,0.07,0.2,0.19,-0.8,0,3
3,F0F0F0F0F0F0T44F0T4T2T4T5T2T6T6F0,180,3_none,0,0,0,0,0,0,0,0,1,72
3,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,199,1_left,0,0,0,0,0,0,1,-0.01,0,5
3,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,199,2_right,0,0.08,0.11,0.27,0.04,0.11,0.38,0.1,0,3
3,F0F0F0F0F0F0T49F0F0T6T8T13T2T6T20F0,199,3_none,0,0,0,0,0,0,0,0,1,72
3,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,186,1_left,0,0,0,0,0,0,1,0.02,0,20
3,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,186,2_right,0.14,0.27,0.13,0,0,0.06,0.39,0.01,0,12
3,F0F0F0F0F0F0T49F0T6T18T9F0F0T3T20F0,186,3_none,0,0,0,0,0,0,0,0,1,48
3,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,230,1_left,0,0,0,0,0,0,1,0.34,0,16
3,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,230,2_right,0.12,0.01,0.14,0.11,0.08,0.08,0.47,1,0,12
3,F0F0F0F0F0F0T56F0T7T1T14T7T6T6T36F0,230,3_none,0,0,0,0,0,0,0,0,1,52
3,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,181,1_left,0,0,0,0,0,0,1,0.54,0,6
3,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,181,2_right,0,0.15,0.1,0.06,0.19,0.11,0.38,0.89,0,7
3,F0F0F0F0F0F0T61F0F0T14T10T4T13T8T28F0,181,3_none,0,0,0,0,0,0,0,0,1,67
3,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,237,1_left,0,0,0,0,0,0.01,0.99,0.57,0,15
3,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,237,2_right,0.16,0.09,0,0.13,0.19,0,0.44,0.53,0,12
3,F0F0F0F0F0T1T61F0T8T8F0T7T11F0T28F0,237,3_none,0,0,0,0,0,0,0,0,1,53
3,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,215,1_left,0,0,0,0,0,0.85,0.15,-0.04,0,5
3,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,215,2_right,0.02,0.13,0.05,0,0,0.7,0.1,-0.04,0,3
3,F0F0F0F0F0T39T7F0T1T8T3F0F0T33T5F0,215,3_none,0,0,0,0,0,0,0,0,1,72
3,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,203,1_left,0,0,0,0,0.94,0,0.06,0.03,0,1
3,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,203,2_right,0,0.03,0,0.06,0.76,0,0.14,-0.04,0,2
3,F0F0F0F0T45F0T3F0F0T2F0T3T36F0T7F0,203,3_none,0,0,0,0,0,0,0,0,1,77
3,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,185,1_left,0,0,0,0.46,0,0,0.54,-0.01,0,9
3,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,185,2_right,0.07,0.07,0.08,0.59,0.1,0.08,0.02,0.06,0,2
3,F0F0F0T21F0F0T26F0T3T5T5T27T5T4T1F0,185,3_none,0,0,0,0,0,0,0,0,1,69
3,F0F0F0T35F0T2F0F0T4T1T1T30T2F0F0F0,187,1_left,0,0,0,0.96,0,0.04,0,-0.4,0,3
3,F0F0F0T35F0T2F0F0T4T1T1T30T2F0F0F0,187,2_right,0.12,0.01,0.01,0.82,0.04,0,0,-0.37,0,2
3,F0F0F0T35F0T2F0F0T4T1T1T30T2F0F0F0,187,3_none,0,0,0,0,0,0,0,0,1,75
3,F0F0T4T6T33T9T2F0F0T2F0F0T34F0T23F0,227,1_left,0,0,0.05,0.11,0.64,0.17,0.04,0.21,0,3
3,F0F0T4T6T33T9T2F0F0T2F0F0T34F0T23F0,227,2_right,0,0.02,0,0,0.6,0,0.38,0.34,0,7
3,F0F0T4T6T33T9T2F0F0T2F0F0T34F0T23F0,227,3_none,0,0,0,0,0,0,0,0,1,70
3,F0F0T56T9T1F0T6F0T1T5T62T2F0T7T1F0,213,1_left,0,0,0.72,0.16,0.01,0,0.11,0.36,0,4
3,F0F0T56T9T1F0T6F0T1T5T62T2F0T7T1F0,213,2_right,0.02,0.06,0.76,0.03,0,0.12,0.02,0.47,0,2
3,F0F0T56T9T1F0T6F0T1T5T62T2F0T7T1F0,213,3_none,0,0,0,0,0,0,0,0,1,74
3,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,183,1_left,0,0,0.87,0.07,0,0,0.07,0.27,0,8
3,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,183,2_right,0,0.05,0.73,0.11,0.1,0.01,0,0.33,0,3
3,F0F0T65T4F0F0T4F0F0T4T56T6T6T1F0F0,183,3_none,0,0,0,0,0,0,0,0,1,69
